"('simple interface', 'simple', 'processing', 'licensing', 'data processing', 'fees', 'comprehensible', 'clearly')","[['simple interface', 'simple', 'processing'], ['simple interface', 'simple', 'data processing'], ['simple interface', 'simple', 'fees'], ['simple interface', 'simple', 'comprehensible'], ['simple interface', 'simple', 'clearly'], ['processing', 'simple', 'data processing'], ['processing', 'simple', 'fees'], ['processing', 'simple', 'comprehensible'], ['processing', 'simple', 'clearly'], ['data processing', 'simple', 'fees'], ['data processing', 'simple', 'comprehensible'], ['data processing', 'simple', 'clearly'], ['fees', 'simple', 'comprehensible'], ['fees', 'simple', 'clearly'], ['comprehensible', 'simple', 'clearly']]"
"('request', 'location')","[['request', 'location']]"
"('royalty-per-chip', 'royalty-per-chip fees,', 'please', 'please check:', 'site', 'middle', 'contact', 'modification', 'check')","[['royalty-per-chip', 'royalty-per-chip fees,', 'contact', 'middle', 'please', 'please check:'], ['royalty-per-chip', 'royalty-per-chip fees,', 'contact', 'site'], ['royalty-per-chip', 'royalty-per-chip fees,', 'contact', 'modification'], ['royalty-per-chip', 'royalty-per-chip fees,', 'contact', 'middle', 'please', 'check'], ['please check:', 'please', 'middle', 'contact', 'site'], ['please check:', 'please', 'middle', 'contact', 'modification'], ['please check:', 'please', 'check'], ['site', 'contact', 'modification'], ['site', 'contact', 'middle', 'please', 'check'], ['modification', 'contact', 'middle', 'please', 'check']]"
"('reserved all', '1999-2012', 'trademarks', 'digital core', 'dcd digital core design', 'dcd digital')","[['trademarks', 'reserved all', '1999-2012', 'dcd digital', 'digital core'], ['trademarks', 'reserved all', '1999-2012', 'dcd digital', 'dcd digital core design'], ['digital core', 'dcd digital', 'dcd digital core design']]"
"('ncsim', 'netlist')","[['ncsim', 'netlist']]"
"('verilog source code or/and', 'verilog', 'verilog source', 'verilog source code')","[['verilog', 'verilog source', 'verilog source code or/and', 'verilog source code']]"
"('methods', 'easy')","[['methods', 'easy']]"
"('math',)",[['math']]
"('pipeline', 'scripts', 'level pipeline', 'synthesis')","[['pipeline', 'synthesis', 'scripts', 'level pipeline']]"
"('internal', 'synchronous')","[['internal', 'synchronous']]"
"('dcd', 'dcd digital core', 'core design')","[['dcd', 'core design', 'dcd digital core']]"
"('automatic', 'hdl', 'modelsim')","[['automatic', 'hdl', 'modelsim']]"
"('email support', 'phone', 'support', 'email')","[['email support', 'phone', 'email', 'support']]"
"('available', 'single precision', 'format support', 'results', 'single', 'coprocessor')","[['available', 'results', 'single', 'single precision', 'format support'], ['available', 'results', 'single', 'coprocessor'], ['format support', 'single precision', 'single', 'coprocessor']]"
"('source code:', 'code', 'vhdl', 'code or/and')","[['source code:', 'code', 'code or/and', 'vhdl']]"
"('small', 'local', 'special')","[['local', 'small', 'special']]"
"('within', 'selected', 'number', 'used', 'cases', 'several')","[['selected', 'cases', 'within', 'number'], ['selected', 'cases', 'used'], ['selected', 'cases', 'several'], ['number', 'within', 'cases', 'used'], ['number', 'within', 'cases', 'several'], ['used', 'cases', 'several']]"
"('customers', 'places')","[['customers', 'places']]"
"('documentation', 'updates')","[['documentation', 'updates']]"
"('num-', 'ip core instantiation', 'multi sites license')","[['ip core instantiation', 'num-', 'multi sites license']]"
"('technical',)",[['technical']]
"('compliance', 'full ieee-754 compliance', 'algorithms', 'dsp', 'ieee-754 compliance')","[['full ieee-754 compliance', 'dsp', 'ieee-754 compliance', 'compliance', 'algorithms']]"
"('function', 'conforms', 'fed', 'compares', 'clock cycle')","[['function', 'compares', 'clock cycle', 'conforms', 'fed']]"
"('key features', 'features', 'key')","[['features', 'key features', 'key']]"
"('deliverables',)",[['deliverables']]
"('delivery',)",[['delivery']]
"('period', 'unordered')","[['period', 'unordered']]"
"('environment', 'bench environment', 'bench')","[['bench environment', 'environment', 'bench']]"
"('ip', 'ip core')","[['ip', 'ip core']]"
"('required',)",[['required']]
"('arithmetic', 'embedded', 'format')","[['arithmetic', 'embedded', 'format']]"
"('source', 'macros')","[['source', 'macros']]"
"('one',)",[['one']]
"('vhdl source code', 'vhdl source', 'vhdl source code or/and')","[['vhdl source code', 'vhdl source code or/and', 'vhdl source']]"
"('please contact', 'site license', 'business', 'digital')","[['please contact', 'business', 'site license'], ['please contact', 'business', 'digital'], ['site license', 'business', 'digital']]"
"('test', 'verilog test', 'test bench', 'verilog test bench')","[['test', 'verilog test bench', 'verilog test'], ['test', 'verilog test bench', 'test bench'], ['verilog test', 'verilog test bench', 'test bench']]"
"('mentioned', 'owners', 'rights')","[['mentioned', 'rights', 'owners']]"
"('included', 'operation')","[['included', 'operation']]"
"('branches', 'multi sites', 'corporate')","[['branches', 'multi sites', 'corporate']]"
"('overview',)",[['overview']]
"('tests', 'responses', 'reference')","[['tests', 'reference', 'responses']]"
"('defined', 'using', 'make', 'without')","[['using', 'make', 'defined', 'without']]"
"('full ieee-754', 'compare function', 'period latency')","[['compare function', 'full ieee-754', 'period latency']]"
"('compare operation', 'ieee-754')","[['compare operation', 'ieee-754']]"
"('sized', 'running', 'companies', 'single site', 'distributors')","[['sized', 'single site', 'running'], ['sized', 'single site', 'companies'], ['running', 'single site', 'companies']]"
"('next', 'every', 'result', 'input', 'supports', 'appears', 'first')","[['every', 'input', 'result'], ['every', 'input', 'next', 'supports'], ['every', 'input', 'appears'], ['every', 'input', 'next', 'first'], ['result', 'input', 'next', 'supports'], ['result', 'input', 'appears'], ['result', 'input', 'next', 'first'], ['supports', 'next', 'input', 'appears'], ['supports', 'next', 'first'], ['appears', 'input', 'next', 'first']]"
"('core', 'major', 'versions', 'core specification', 'specification', 'core updates,', 'ip core updates,', 'changes', 'minor')","[['specification', 'core specification', 'core', 'minor', 'core updates,', 'major', 'versions', 'ip core updates,', 'changes']]"
"('fully', 'configurable')","[['fully', 'configurable']]"
"('implementation', 'implementation support')","[['implementation', 'implementation support']]"
"('respective', 'reserved', 'copyright', 'static', 'design', 'document')","[['respective', 'document', 'reserved'], ['respective', 'document', 'copyright'], ['respective', 'document', 'design', 'static'], ['reserved', 'document', 'copyright'], ['reserved', 'document', 'design', 'static'], ['copyright', 'document', 'design', 'static']]"
"('months', 'maintenance')","[['months', 'maintenance']]"
"('project', 'sites', 'dedicated', 'product', 'licensed')","[['sites', 'project', 'dedicated'], ['sites', 'project', 'product'], ['sites', 'project', 'licensed'], ['dedicated', 'project', 'product'], ['dedicated', 'project', 'licensed'], ['product', 'project', 'licensed']]"
"('installation', 'text', 'notes', 'simulation', 'encrypted', 'plain')","[['installation', 'plain', 'encrypted', 'simulation', 'text', 'notes']]"
"('latency', 'compare', 'full', 'level', 'clock', 'precision', 'application', 'example application', 'example')","[['compare', 'latency', 'application', 'full'], ['compare', 'latency', 'level'], ['compare', 'latency', 'precision'], ['compare', 'latency', 'application', 'clock', 'example', 'example application'], ['full', 'application', 'latency', 'level'], ['full', 'application', 'latency', 'precision'], ['full', 'application', 'clock', 'example', 'example application'], ['level', 'latency', 'precision'], ['level', 'latency', 'application', 'clock', 'example', 'example application'], ['precision', 'latency', 'application', 'clock', 'example', 'example application']]"
"('site license option', 'digital core design', 'license option', 'single site license')","[['digital core design', 'license option', 'site license option', 'single site license']]"
"('core instantiation', 'license')","[['core instantiation', 'license']]"
"('ip core implementation', 'core implementation support', 'core implementation')","[['ip core implementation', 'core implementation', 'core implementation support']]"
"('real', 'arguments', 'cycle')","[['real', 'cycle', 'arguments']]"
"('instantiation', 'company', 'multi', 'option')","[['instantiation', 'multi', 'company', 'option']]"
"('control', 'interface', 'data', 'two', 'standard')","[['control', 'data', 'interface'], ['control', 'data', 'two', 'standard'], ['interface', 'data', 'two', 'standard']]"
"('headquarters',)",[['headquarters']]
"('programming',)",[['programming']]
"('single precision real', 'precision real')","[['single precision real', 'precision real']]"
"('pipelined', 'numbers')","[['pipelined', 'numbers']]"
